ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long
q̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1
q̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1
q,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1
ɢ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1
ɢ̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1
ɢ̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1
qː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,1
ɢː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,1
ʈ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ʈ̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ʈ̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ʈ̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ɖ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ɖ̺,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ɖ̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ɖ̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ʈː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1
ɖː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1
ʈ̻,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1
ɖ̻,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1
t,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
t̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
t̪̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
t̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
t̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
d,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
d̺,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
d̪̺,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
d̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
d̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
tː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1
dː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1
t̪,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
t̻,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
t̪̻,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
t̪̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
t̪̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
d̪,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
d̪̻,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
d̻,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
d̪̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
d̪̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1
t̪ː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,1
d̪ː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,1
p,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1
p̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1
p̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1
b,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1
b̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1
b̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1
pː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,1
bː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,1
p͡t,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
p͡t̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
p͡t̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
p͡t̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
p͡t̼,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
t̼,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
b͡d̼,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
b͡d,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
b͡d̺,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
b͡d̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
b͡d̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
d̼,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1
p͡tː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,1
b͡dː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,1
t̪̼,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1
p͡t̻,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1
b͡d̻,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1
d̪̼,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1
qˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1
ɢˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1
qːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1
qˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1
ɢːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1
ɢˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1
ʈˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,-1
ɖˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,-1
ʈːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1
ʈˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1
ɖːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1
ɖˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1
tˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,-1
dˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,-1
tːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,1
tˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,1
dːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,1
dˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,1
t̪ˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,-1
d̪ˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,-1
t̪ːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1
t̪ˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1
d̪ːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1
d̪ˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1
pˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,-1
bˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,-1
pːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,1
pˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,1
bːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,1
bˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,1
p͡tˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,-1
b͡dˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,-1
p͡tːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,1
