Common words in Austronesian and IELEX

WORD 	MEANING_AUSTRO 	AUSTRO_LANGUAGE 	MEANING_IELEX 	IELEX_LANGUAGE
3m 	to fall	Lenakel 	if	ELFDALIAN
3na 	sand	Lio, Flores Tongah 	walk	CATALAN
8i 	who?	Anejom (Aneityum) 	because	OLD_SWEDISH
a 	I	Gapapaiwa 	year	FRENCH
afa 	leaf	Santa Ana 	child	FRENCH
ai 	who?	Kapingamarangi 	mother	MARATHI
ain 	sharp	Taiof 	one	GERMAN
air 	water	Melayu Ambon 	man	ARMENIAN_EASTERN
ak 	I	Elat, Kei Besar 	if	SLOVAK
aki 	to scratch	Lenakel 	here	SPANISH
ako 	neck	As 	how	SLOVAK
al 	to fly	Carolinian 	other	BRETON
ala 	road/path	Kapingamarangi 	all	SWEDISH
alati 	to scratch	Tuvalu 	salt	GREEK
ale 	thou	Alune 	all	GUTNISH_LAU
alir 	to flow	Banjarese Malay 	all	OLD_SWEDISH
am 	mosquito	Wogeo 	here	OSSETIC_IRON
ama 	father	Alune 	and	OSSETIC_DIGOR
aman 	father	Toba Batak 	here	MIDDLE_BRETON
ami 	to chew	Savu 	here	OSSETIC_DIGOR
an 	leg/foot	Ubir 	he	ELFDALIAN
ana 	child	Baree 	come	MAGAHI
anan 	right	Kanakanabu 	other	SWEDISH
anda 	wife	Yakan 	other	GERMAN
ani 	skin	As 	and	MARATHI
anu 	to drink	Teanu 	year	PORTUGUESE
as 	to swim	As 	ashes	DUTCH
at 	liver	Taiof 	guts	BIHARI
au 	ash	Tae (S.Toraja) 	and	MAGAHI
ay 	to swim	Dehu 	in	PORTUGUESE
b 	to drink	Rennellese 	you	OLD_IRISH
ba 	to say	Marshallese (E. Dialect) 	left	ORIYA
baa 	to swell	Lahanan 	father	ORIYA
baba 	big	Windesi Wandamen 	father	FAROESE
bai 	child	Taiof 	woman	MARATHI
bain 	belly	Mambai 	foot	GUTNISH_LAU
balas 	sand	Cebuano 	tree	OSSETIC_IRON
bali 	to buy	Melayu Ambon 	sand	ORIYA
ban 	if	Yakan 	white	IRISH
bao 	to die, be dead	Magori (South East Papua) 	left	ASSAMESE
bapa 	father	Dayak Ngaju 	father	ORIYA
barak 	flower	Bukat 	thin	ARMENIAN_EASTERN
bat 	Four	Ubir 	road	ASSAMESE
bato 	stone	Cebuano 	road	ORIYA
battan 	belly	Makassar 	rope	OSSETIC_DIGOR
baux 	new	Singhi 	belly	GERMAN
beran 	flower	Ubir 	mouth	ARMENIAN_EASTERN
bere 	to flow	Lio, Flores Tongah 	drink	ITALIAN
beuk 	new	Roti (Termanu Dialect) 	belly	GUTNISH_LAU
bewa 	long	Lio, Flores Tongah 	live	BRETON
bili 	to steal	Toambaita 	white	CZECH
bina 	wife	Alune 	tie	STAVANGERSK
bira 	to turn	Yakan 	many	OSSETIC_IRON
bita 	dirty	Tabar 	bite	SWEDISH
blat 	heavy	Tboli (Tagabili) 	leaf	GERMAN
blom 	to live, be alive	Punan Kelai 	flower	FRISIAN
