Common words in Austronesian and Mayan

WORD 	MEANING_AUSTRO 	AUSTRO_LANGUAGE 	MEANING_MAYAN 	MAYAN_LANGUAGE
a7 	I	Lampung 	water	MAM_NORTHERN
a7i 	fire	Kisar 	hear	ZINACANTAN_TZOTZIL
ah 	fire	Seimat 	you	IXIL_CHAJUL
ak 	I	Elat, Kei Besar 	lie	LACANDON
akal 	root	Watubela 	night	CHICOMUCELTEC
al 	to fly	Carolinian 	say	ITZAJ
ala 	road/path	Kapingamarangi 	say	TOJOLABAL
anam 	Six	Minangkabau 	earth	CHICOMUCELTEC
ane 	if	Baree 	you	CHONTAL_TABASCO
as 	to swim	As 	you	AGUACATEC
asun 	to kill	Teop 	cloud	ACATECO_SAN_MIGUEL_ACATAN
at 	liver	Taiof 	you	USPANTEKO
atin 	liver	Singhi 	swim	USPANTEKO
axan 	name	Seimat 	foot	ACATECO_SAN_MIGUEL_ACATAN
ba7 	mouth	Lahanan 	what	LACANDON
be 	worm (earthworm)	Jawe 	path	ZINACANTAN_TZOTZIL
e 	to eat	Teanu 	see	TECO_TECTITAN
eh 	liver	Ponapean 	tooth	CHORTI
el 	to climb	Dehu 	know	MOPAN
en 	that	Ponapean 	I	MAYA_YUCATAN
et 	this	Ponapean 	you	CHORTI
han 	at	Maanyan 	eat	ITZAJ
hap 	good	Yakan 	drink	LACANDON
hat 	big	Jawe 	you	POCOMAM_EASTERN
he7 	who?	Bukat 	egg	MAYA_YUCATAN
hin 	hand	Jawe 	I	POCOMAM_EASTERN
hos 	good	Ambrym, South-East 	egg	ACATECO_SAN_MIGUEL_ACATAN
huk 	hair	Selaru 	sit	TZELTAL_BACHAJON
hul 	moon	Selaru 	come	ACATECO_SAN_MIGUEL_ACATAN
hun 	to die, be dead	Sengseng 	one	MAYA_YUCATAN
hut 	to tie up, fasten	Mambai 	eye	CHONTAL_TABASCO
iba 	Nine	Rennellese 	not	HUASTEC
il 	to dig	Lenakel 	see	MOPAN
ila 	warm	Varisi 	see	CHOL_TUMBALA
im 	and	Marshallese (E. Dialect) 	breasts	LACANDON
in 	sand	As 	one	CHORTI
inin 	this	Yakan 	I	TZUTUJIL_SAN_JUAN_LA_LAGUNA
ira 	lightning	Kapingamarangi 	this	CHORTI
isik 	to burn	Ponapean 	woman	CHORTI
it 	we	Mambai 	new	HUASTEC
iti 	this	Maanyan 	this	TOJOLABAL
ka 	and	Teanu 	two	ITZAJ
ka7 	to scratch	As 	two	LACANDON
kal 	to dig	Selaru 	neck	MAYA_YUCATAN
kam 	you	Tunjung 	die	EASTERN_KEKCHI_CAHABON
kame 	to scratch	Kwaraae (Solomon Islands) 	what	IXIL_CHAJUL
kan 	to eat	Bonfia 	die	LACANDON
kar 	to scratch	Taiof 	neck	LACANDON
ken 	sharp	Ponapean 	I	TOJOLABAL
ki 	they	Waropen 	good	ITZAJ
ki7 	thou	Punan Kelai 	good	MOPAN
kil 	to dig	Patpatar 	not	AGUACATEC
kim 	you	Elat, Kei Besar 	die	MOPAN
kis 	to sit	Patpatar 	feather	CENTRAL_QUICHE
ko7 	thou	Tunjung 	small	MAM_NORTHERN
koh 	to come	Ponapean 	tooth	LACANDON
kon 	sand	Jawe 	yellow	ZINACANTAN_TZOTZIL
kul 	to buy	Patpatar 	sit	ITZAJ
kum 	to squeeze	Mambai 	egg	CHORTI
la7 	I	Koiwai (Irian Jaya) 	that	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA
lek 	husband	Ririo 	good	TZELTAL_BACHAJON
lela7 	tongue	Maanyan 	this	MAYA_YUCATAN
lin 	to lie down	Ambrym, South-East 	stand	JACALTEC
lo7 	to laugh	Punan Kelai 	eat	ACATECO_SAN_MIGUEL_ACATAN
lohon 	neck	Tunjung 	we	CHOL_TUMBALA
ma 	hand	Teanu 	not	ITZAJ
ma7 	mother	Lampung 	big	MAM_NORTHERN
mak 	fat/grease	Punan Kelai 	person	ITZAJ
maki 	to die, be dead	Kisar 	who	MOPAN
man 	dry	Jawe 	walk	ITZAJ
manu7 	to kill	Maanyan 	yellow	HUASTEC
mas 	to die, be dead	Anejom (Aneityum) 	who	MAYA_YUCATAN
mat 	to die, be dead	Jawe 	not	JACALTEC
mata 	eye	Tae (S.Toraja) 	not	TZUTUJIL_SAN_JUAN_LA_LAGUNA
mi 	you	Kisar 	not	MAM_NORTHERN
mila 	fat/grease	Ujir (N.Aru) 	kill	TOJOLABAL
mila7 	to laugh	Lahanan 	kill	CHUJ
miman 	hand	Mambai 	big	ACATECO_SAN_MIGUEL_ACATAN
mis 	smoke	Patpatar 	breasts	TOJOLABAL
mu 	to hide	Futuna, East 	not	ZINACANTAN_TZOTZIL
musun 	year	Soboyo 	swim	POQOMCHI_WESTERN
mut 	to vomit	Selaru 	bird	CHORTI
na 	and	Tae (S.Toraja) 	head	POQOMCHI_WESTERN
na7 	earth/soil	Punan Kelai 	know	ZINACANTAN_TZOTZIL
na7a 	he/she	Cheke Holo 	know	TOJOLABAL
nak 	year	Ujir (N.Aru) 	belly	CHORTI
naq 	child	Tboli (Tagabili) 	what	TZUTUJIL_SAN_JUAN_LA_LAGUNA
nat 	to know, be knowledgeable	Taiof 	know	CHORTI
naw 	what?	Lahanan 	know	EASTERN_KEKCHI_CAHABON
ne 	at	Teanu 	tail	TZELTAL_BACHAJON
neh 	leg/foot	Ponapean 	tail	LACANDON
ni7 	mother	As 	nose	LACANDON
nim 	Five	Jawe 	long	CENTRAL_QUICHE
nosi 	to say	Lio, Flores Tongah 	swim	TOJOLABAL
nuk 	fish	Jawe 	neck	CHORTI
pa 	where?	Jawe 	smoke	CHICOMUCELTEC
pat 	Four	Lahanan 	skin	CHORTI
pe 	if	Futuna-Aniwa 	come	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA
pis 	thin	Punan Kelai 	sit	JACALTEC
polok 	to grow	Tigak 	grease	ITZAJ
pul 	to buy	Tigak 	burn	CHOL_TUMBALA
qan 	if	Itbayaten 	foot	SIPAKAPENSE
rah 	blood	Lampung 	that	LACANDON
re 	eye	Windesi Wandamen 	that	USPANTEKO
ri 	at	Baree 	this	USPANTEKO
set 	One	Ujir (N.Aru) 	round	MOCHO
son 	smoke	Punan Kelai 	walk	AGUACATEC
