Common words in IELEX and Mayan

WORD 	MEANING_IELEX 	IELEX_LANGUAGE 	MEANING_MAYAN 	MAYAN_LANGUAGE
ak 	if	SLOVAK 	lie	LACANDON
al 	other	BRETON 	say	ITZAJ
ala 	all	SWEDISH 	say	TOJOLABAL
ar 	year	GUTNISH_LAU 	say	LACANDON
as 	ashes	DUTCH 	you	AGUACATEC
at 	guts	BIHARI 	you	USPANTEKO
awel 	wind	MIDDLE_CORNISH 	new	CHICOMUCELTEC
bak 	bark	ENGLISH 	horn	ITZAJ
bel 	white	MACEDONIAN 	path	HUASTEC
bi 	seed	MARATHI 	name	JACALTEC
bos 	woods	DUTCH 	black	MOPAN
cal 	bark	URDU 	come	EASTERN_KEKCHI_CAHABON
ci 	who	OSSETIC_IRON 	good	USPANTEKO
e 	liver	IRISH 	see	TECO_TECTITAN
ec 	at	IRISH 	claw	CHUJ
el 	he	SPANISH 	know	MOPAN
en 	bird	IRISH 	I	MAYA_YUCATAN
et 	and	LATIN 	you	CHORTI
ex 	egg	DANISH_FJOLDE 	tooth	TOJOLABAL
ey 	eye	FRENCH 	tooth	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA
han 	he	GUTNISH_LAU 	eat	ITZAJ
hat 	heart	ENGLISH 	you	POCOMAM_EASTERN
hin 	that	ICELANDIC 	I	POCOMAM_EASTERN
hol 	meat	STAVANGERSK 	head	CHOL_TUMBALA
hor 	hair	SWEDISH 	head	LACANDON
hos 	laugh	ORIYA 	egg	ACATECO_SAN_MIGUEL_ACATAN
hul 	stick	CZECH 	come	ACATECO_SAN_MIGUEL_ACATAN
hun 	dog	FRISIAN 	one	MAYA_YUCATAN
hut 	skin	FRISIAN 	eye	CHONTAL_TABASCO
il 	fire	STAVANGERSK 	see	MOPAN
ila 	bad	SWEDISH 	see	CHOL_TUMBALA
im 	you	DANISH_FJOLDE 	breasts	LACANDON
imil 	sky	ELFDALIAN 	breasts	HUASTEC
in 	one	BRETON 	one	CHORTI
is 	I	GERMAN 	woman	ACATECO_SAN_MIGUEL_ACATAN
it 	eat	ENGLISH 	new	HUASTEC
iti 	walk	SLOVENIAN 	this	TOJOLABAL
k3m 	few	MAGAHI 	die	CENTRAL_QUICHE
ka 	where	IRISH 	two	ITZAJ
kal 	man	GUTNISH_LAU 	neck	MAYA_YUCATAN
kam 	where	OSSETIC_IRON 	die	EASTERN_KEKCHI_CAHABON
kan 	ear	MARATHI 	die	LACANDON
kap 	head	CATALAN 	two	JACALTEC
kar 	man	SWEDISH 	neck	LACANDON
kay 	what	SLOVENIAN 	fish	MAYA_YUCATAN
ki 	who	ITALIAN 	good	ITZAJ
kil 	narrow	MIDDLE_CORNISH 	not	AGUACATEC
koli 	when	UKRAINIAN 	small	TZUTUJIL_SAN_JUAN_LA_LAGUNA
kom 	mouth	OSSETIC_DIGOR 	die	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA
kon 	who	MARATHI 	yellow	ZINACANTAN_TZOTZIL
kox 	red	MIDDLE_CORNISH 	tooth	MOPAN
koy 	who	MACEDONIAN 	lie	AGUACATEC
kum 	with	LATIN 	egg	CHORTI
lin 	lake	MIDDLE_CORNISH 	stand	JACALTEC
ma 	good	IRISH 	not	ITZAJ
mak 	worm	GUTNISH_LAU 	person	ITZAJ
man 	man	GERMAN 	walk	ITZAJ
mas 	meat	MAGAHI 	who	MAYA_YUCATAN
mat 	meat	SWEDISH 	not	JACALTEC
mi 	one	CLASSICAL_ARMENIAN 	not	MAM_NORTHERN
mil 	louse	OLD_IRISH 	kill	TZELTAL_BACHAJON
mis 	meat	ARMENIAN_EASTERN 	breasts	TOJOLABAL
mu 	we	OLD_CHURCH_SLAVONIC 	not	ZINACANTAN_TZOTZIL
mux 	smoke	OLD_IRISH 	cloud	MAM_NORTHERN
na 	he	ARMENIAN_EASTERN 	head	POQOMCHI_WESTERN
nah 	fingernail	BIHARI 	full	LACANDON
nak 	nose	MARATHI 	belly	CHORTI
nat 	night	GUTNISH_LAU 	know	CHORTI
naw 	name	MARATHI 	know	EASTERN_KEKCHI_CAHABON
ne 	nose	FRENCH 	tail	TZELTAL_BACHAJON
neil 	fingernail	ENGLISH 	tail	ZINACANTAN_TZOTZIL
nen 	child	CATALAN 	what	USPANTEKO
noh 	fingernail	MAGAHI 	full	ZINACANTAN_TZOTZIL
nus 	nose	SORBIAN_UPPER 	swim	CHORTI
ok 	and	SWEDISH 	foot	LACANDON
on 	where	CATALAN 	we	CHORTI
ot 	old	FRISIAN 	star	CHICOMUCELTEC
ox 	and	ICELANDIC 	foot	JACALTEC
pa 	foot	URDU 	smoke	CHICOMUCELTEC
pan 	leaf	MARATHI 	belly	TZUTUJIL_SAN_JUAN_LA_LAGUNA
pat 	belly	ASSAMESE 	skin	CHORTI
pe 	foot	PORTUGUESE 	come	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA
pek 	tooth	OLD_IRISH 	stone	EASTERN_KEKCHI_CAHABON
pet 	belly	URDU 	round	JACALTEC
pis 	five	SORBIAN_LOWER 	sit	JACALTEC
pok 	worm	ASSAMESE 	sand	CHUJ
pol 	louse	CATALAN 	head	MAYA_YUCATAN
r3s 	dig	SORBIAN_LOWER 	green	CENTRAL_QUICHE
rat 	night	URDU 	you	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA
re 	red	NORWEGIAN_RIKSMAL 	that	USPANTEKO
ri 	red	BRETON 	this	USPANTEKO
rox 	horn	BELARUSIAN 	we	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA
sat 	many	ARMENIAN_EASTERN 	eye	ACATECO_SAN_MIGUEL_ACATAN
saw 	walk	OSSETIC_IRON 	moon	AGUACATEC
set 	meat	SWEDISH 	round	MOCHO
sib 	sew	BIHARI 	smoke	MAM_NORTHERN
sil 	seed	OLD_IRISH 	hair	ACATECO_SAN_MIGUEL_ACATAN
sis 	feather	OSSETIC_IRON 	cold	LACANDON
sit 	sew	CZECH 	eye	TZELTAL_BACHAJON
sitin 	dirty	FAROESE 	ear	IXIL_CHAJUL
skin 	skin	ENGLISH 	ear	SIPAKAPENSE
smal 	narrow	DANISH_FJOLDE 	hair	MAM_NORTHERN
son 	know	OSSETIC_IRON 	walk	AGUACATEC
sul 	salt	SORBIAN_UPPER 	dog	CHICOMUCELTEC
sux 	dry	SLOVENIAN 	woman	MAM_NORTHERN
t 	at	MARATHI 	hear	SACAPULTECO_SACAPULAS_CENTRO
ta 	this	SLOVENIAN 	hear	USPANTEKO
tal 	give	ARMENIAN_EASTERN 	come	MAYA_YUCATAN
tam 	there	SLOVENIAN 	nose	ACATECO_SAN_MIGUEL_ACATAN
tan 	fire	BRETON 	ash	LACANDON
tar 	bark	OSSETIC_IRON 	come	LACANDON
tay 	that	SERBO-CROATIAN 	fish	IXIL_CHAJUL
ten 	this	SORBIAN_LOWER 	I	ITZAJ
tew 	rope	DANISH_FJOLDE 	cold	USPANTEKO
ti 	they	OLD_CHURCH_SLAVONIC 	mouth	JACALTEC
ton 	tooth	STAVANGERSK 	stone	TZELTAL_BACHAJON
top 	dull	SLOVENIAN 	fly	CHORTI
tun 	this	SORBIAN_UPPER 	stone	CHORTI
u 	louse	MARATHI 	moon	ZINACANTAN_TZOTZIL
ubi 	where	LATIN 	hear	CHOL_TUMBALA
ul 	eye	CATALAN 	come	MAM_NORTHERN
un 	one	CATALAN 	one	CHONTAL_TABASCO
us 	louse	SLOVENIAN 	good	EASTERN_KEKCHI_CAHABON
uy 	he	OSSETIC 	hear	LACANDON
vot 	wet	SWEDISH 	you	ZINACANTAN_TZOTZIL
wan 	lake	NORWEGIAN_RIKSMAL 	eat	MAM_NORTHERN
war 	where	DUTCH 	stand	CHORTI
wat 	what	DUTCH 	sleep	IXIL_CHAJUL
wen 	when	ENGLISH 	you	TOJOLABAL
win 	wind	STAVANGERSK 	eat	USPANTEKO
wir 	man	LATIN 	sleep	POCOMAM_EASTERN
wit 	white	DUTCH 	hear	AGUACATEC
xel 	yellow	DUTCH 	many	TOJOLABAL
xun 	smell	ASSAMESE 	one	TZELTAL_BACHAJON
ya 	I	GUTNISH_LAU 	give	CENTRAL_QUICHE
yan 	know	ORIYA 	many	CHICOMUCELTEC
yas 	I	SLOVENIAN 	green	LACANDON
yax 	left	CLASSICAL_ARMENIAN 	man	AGUACATEC
ye 	give	SWEDISH 	tail	CHUJ
yew 	one	OSSETIC_DIGOR 	give	POQOMCHI_WESTERN
