New Model
5 fold evaluation 
LAMBDA :  0.9 , P :  3 , New Model :  True
Results Split over all meanings
default SVC params

Average Results
---------------------------------
Meaning	Tag	Samples	Accuracy	Precision	Recall	Fscore
---------------------------------
ALL 	DT 	568 	83.690685413 	0.0 	0.0 	0.0
AND 	DT 	213 	90.3738317757 	9.99500249875 	0.9999500025 	0.0181471554643
ANIMAL 	JJ 	488 	90.1022494888 	0.0 	0.0 	0.0
ASHES 	NN 	416 	85.035971223 	19.98001998 	0.370363511787 	0.00726532258791
AT 	DT 	418 	92.3150357995 	0.0 	0.0 	0.0
BACK 	NN 	627 	92.3566878981 	19.98001998 	0.39999200016 	0.00783514064875
BAD 	JJ 	460 	89.5444685466 	0.0 	0.0 	0.0
BARK 	JJ 	395 	86.9696969697 	0.0 	0.0 	0.0
BECAUSE 	DT 	551 	90.7608695652 	28.1363983432 	7.56383331586 	0.117996561963
BELLY 	NN 	461 	93.7229437229 	19.98001998 	0.714260204993 	0.013778835701
BIG 	JJ 	422 	90.4491725768 	13.3288903699 	1.14282449073 	0.0210224704191
BIRD 	NN 	421 	88.5308056872 	0.0 	0.0 	0.0
BLACK 	JJ 	378 	85.382585752 	27.3268406861 	2.81567806168 	0.0498687008711
BLOOD 	NN 	375 	87.0212765957 	6.66444518494 	0.434773157105 	0.00814000002303
BONE 	NN 	298 	83.6120401338 	84.258098974 	20.4873442152 	0.324144545843
CHILD 	NN 	491 	89.7967479675 	0.0 	0.0 	0.0
CLOUD 	JJ 	462 	90.4967602592 	66.9865194391 	7.73820083866 	0.137747498521
COLD 	NN 	552 	89.0777576854 	0.0 	0.0 	0.0
DAY 	NN 	258 	87.1042471042 	89.9168776698 	80.1475191572 	0.845807047077
DIRTY 	JJ 	619 	92.5483870968 	0.0 	0.0 	0.0
DOG 	JJ 	401 	85.9701492537 	82.7668277056 	59.4222535624 	0.68961282887
DRY 	NN 	465 	88.5836909871 	88.4508510651 	49.7092186689 	0.634078450258
DULL 	NN 	533 	88.2397003745 	0.0 	0.0 	0.0
DUST 	NN 	405 	89.9507389163 	0.0 	0.0 	0.0
EAR 	JJ 	362 	87.9889807163 	91.9029200844 	85.1119861483 	0.882872082136
