Old Model
5 fold evaluation 
LAMBDA :  0.9 , P :  3 , New Model :  False
Results Split over all meanings

Average Results
---------------------------------
Meaning	Tag	Samples	Accuracy	Precision	Recall	Fscore
---------------------------------
ALL 	DT 	568 	90.0175746924 	93.1093824487 	42.5483108865 	0.582136458657
AND 	DT 	213 	91.5887850467 	65.9793075119 	12.9140822972 	0.212731946829
ANIMAL 	JJ 	488 	92.6789366053 	81.9133352152 	34.3583851833 	0.475683408048
ASHES 	NN 	416 	91.03117506 	90.7137500322 	44.6671557622 	0.594139018701
AT 	DT 	418 	93.508353222 	29.6208854284 	11.6520264666 	0.164564771053
BACK 	NN 	627 	93.5031847134 	62.5495887992 	39.0234655525 	0.478648528735
BAD 	JJ 	460 	90.2386117137 	57.0932122086 	22.9695256561 	0.325015376071
BARK 	JJ 	395 	88.8383838384 	68.4474471996 	27.4039634115 	0.387873990859
BECAUSE 	DT 	551 	91.3043478261 	44.3650125305 	18.962531248 	0.260176553097
BELLY 	NN 	461 	95.670995671 	70.7288761836 	53.4604865004 	0.602606355236
BIG 	JJ 	422 	93.475177305 	81.4627784098 	42.3698281557 	0.553724643624
BIRD 	NN 	421 	92.1327014218 	90.9771662592 	36.0017095768 	0.511802911936
BLACK 	JJ 	378 	93.562005277 	92.9261577472 	61.1324577411 	0.735578713063
BLOOD 	NN 	375 	93.3510638298 	92.801666744 	53.8392331535 	0.679129302519
BONE 	NN 	298 	86.1538461538 	84.6286576757 	36.57491029 	0.509296860411
CHILD 	NN 	491 	91.1788617886 	72.4107911218 	23.8534510623 	0.35433272117
CLOUD 	JJ 	462 	92.656587473 	72.5263466328 	41.7601129373 	0.528827241896
COLD 	NN 	552 	92.7667269439 	75.2765610038 	52.2934812304 	0.611752908157
DAY 	NN 	258 	69.1891891892 	85.6809034167 	35.3896317384 	0.499690710923
DIRTY 	JJ 	619 	92.064516129 	37.4677277086 	11.9705228027 	0.179818836386
DOG 	JJ 	401 	78.3582089552 	83.8316964279 	22.3232168729 	0.350127454668
DRY 	NN 	465 	85.7081545064 	78.6046078229 	38.8876705754 	0.51820751566
DULL 	NN 	533 	89.9625468165 	69.2412109579 	27.1184578571 	0.388942237463
DUST 	NN 	405 	92.2167487685 	71.7463665687 	37.6059524448 	0.491764180485
EAR 	JJ 	362 	53.9393939394 	98.4122491536 	13.0866059261 	0.230726100609
EARTH 	NN 	359 	89.8888888889 	75.1039399505 	39.169858476 	0.510486286705
EGG 	NN 	354 	60.676056338 	83.3174658838 	12.1007839351 	0.209670359405
EYE 	NN 	373 	46.3636363636 	96.8132496207 	4.84944563345 	0.0918263833352
FAR 	JJ 	403 	90.3465346535 	84.0912611536 	43.4391417958 	0.569276093951
FAT 	NN 	476 	93.5429769392 	81.6970030121 	40.7172556814 	0.541482166522
FATHER 	NN 	393 	83.3502538071 	74.1806081958 	23.2130292498 	0.352850759851
FEATHER 	NN 	438 	86.6059225513 	66.3652514185 	30.5635954419 	0.416153084876
FEW 	JJ 	460 	88.9804772234 	63.2633983613 	17.7867083048 	0.274771748269
FIRE 	NN 	508 	89.0766208251 	91.3090667002 	43.4609688925 	0.586754539151
FISH 	NN 	283 	79.7183098592 	86.9423025666 	28.9061195047 	0.432787448169
FIVE 	DT 	335 	13.0952380952 	99.997704344 	13.1342891514 	0.231734857083
FLOWER 	NN 	340 	79.2375366569 	84.5109953995 	33.2053339043 	0.475118244708
FOG 	NN 	527 	88.9393939394 	73.7973914605 	33.8360392977 	0.460324374669
FOOT 	NN 	388 	68.3290488432 	84.5715437152 	21.2337230296 	0.338168762045
FOUR 	DT 	312 	27.6038338658 	99.9986638184 	25.0817911568 	0.40016071849
FRUIT 	NN 	446 	90.067114094 	68.4977391634 	31.1062787355 	0.414991972621
GOOD 	JJ 	362 	94.3801652893 	87.2158471675 	61.1499533868 	0.715903777583
GRASS 	NN 	316 	93.1861198738 	87.3643866891 	52.2910370709 	0.648112376441
GREEN 	JJ 	398 	91.6290726817 	89.0607751565 	48.6205314748 	0.625864451312
GUTS 	NN 	668 	90.8819133034 	56.774911734 	23.2509405572 	0.328397307716
HAIR 	NN 	416 	93.1414868106 	76.8402784047 	49.7976654484 	0.598858829151
HAND 	NN 	209 	92.8571428571 	91.8072108506 	66.2010393564 	0.767240122983
HE 	DT 	343 	92.3255813953 	61.5958522004 	24.1101819085 	0.345678771643
HEAD 	NN 	319 	92.5 	91.8639483612 	47.9164908966 	0.621101433329
HEART 	NN 	322 	58.26625387 	87.0564579184 	17.8626102129 	0.295304617315
HEAVY 	JJ 	534 	93.2710280374 	90.4613869735 	52.1035906386 	0.652715875349
HERE 	DT 	448 	92.3385300668 	70.7268797368 	35.357489104 	0.468396605857
HOLD 	DT 	592 	91.0961214165 	81.4429744414 	44.1074615405 	0.569931002778
HOW 	DT 	345 	50.3468208092 	84.8272999077 	10.6937247107 	0.189445019633
HUSBAND 	NN 	490 	92.8309572301 	54.9421947898 	32.6039611103 	0.407425354114
I 	NN 	244 	14.612244898 	99.9875485202 	3.87044216018 	0.0743495420153
ICE 	NN 	388 	91.3624678663 	78.796720685 	32.0072787838 	0.449763318463
IF 	DT 	360 	93.7396121884 	58.1046837491 	24.7988080605 	0.342232130734
IN 	DT 	285 	66.0839160839 	37.8163825062 	3.90604882841 	0.0699804084816
KNOW 	DT 	510 	81.2915851272 	79.5788778772 	28.6806371686 	0.416563000278
LAKE 	NN 	375 	94.6808510638 	81.8170672208 	57.9273996149 	0.674833870531
LEAF 	NN 	373 	91.6042780749 	67.8612305804 	37.7287651281 	0.483277883754
LEFT 	JJ 	518 	94.3737957611 	72.8845505608 	38.4036336279 	0.497279112647
LEG 	NN 	448 	92.6503340757 	62.7019459387 	27.339751012 	0.374028453178
LIVER 	NN 	482 	93.1677018634 	84.747074086 	40.8110237555 	0.549557035712
LONG 	JJ 	410 	76.4476885645 	91.1657085043 	39.742640169 	0.552487399608
LOUSE 	JJ 	439 	92.1363636364 	87.3336747976 	41.8951310256 	0.563486306708
MAN 	NN 	479 	90.4583333333 	76.4297736127 	40.560492236 	0.527130286491
MANY 	JJ 	560 	94.4385026738 	82.1813925116 	48.4405249911 	0.605645968637
MEAT 	NN 	302 	91.9471947195 	92.0664915758 	61.9023834572 	0.738258865442
MOTHER 	NN 	319 	62.1875 	72.7526724372 	35.417800372 	0.475091393995
MOUNTAIN 	NN 	315 	93.6708860759 	82.6028529437 	63.7002209357 	0.71670348799
MOUTH 	NN 	315 	93.2911392405 	84.7885205565 	44.9446083366 	0.584421613106
NAME 	NN 	354 	43.5492957746 	99.8310560579 	36.4087704546 	0.532858615092
NARROW 	JJ 	493 	91.7813765182 	56.658652164 	57.2258715054 	0.568204000311
NEAR 	DT 	593 	92.4915824916 	77.9869562639 	49.3848374535 	0.601829334336
NECK 	NN 	393 	93.4517766497 	72.2789403137 	37.9472388381 	0.4945996327
NEW 	JJ 	397 	63.567839196 	92.6773291582 	52.3722691894 	0.668262881853
NIGHT 	NN 	283 	76.1267605634 	99.9989213859 	58.1903773981 	0.734858349283
NOSE 	NN 	245 	84.3089430894 	84.457838142 	64.8779666021 	0.732479559572
NOT 	DT 	192 	61.9689119171 	84.616678727 	29.5141701915 	0.434814087428
OLD 	JJ 	396 	93.2997481108 	88.0854440169 	47.7140145233 	0.617128696584
ONE 	DT 	324 	39.0769230769 	91.1930723338 	14.7982446213 	0.25428247894
OTHER 	JJ 	439 	89.7727272727 	53.3532843429 	59.2058638504 	0.559428932635
PERSON 	NN 	428 	93.6130536131 	49.4388342121 	39.0298032166 	0.425603842557
RED 	JJ 	490 	85.7433808554 	85.3423227332 	31.8896457904 	0.462843959271
RIGHT 	JJ 	561 	85.5516014235 	75.4862312211 	33.4712237627 	0.461684171994
RIVER 	NN 	314 	92.9523809524 	64.6703965183 	43.3522023879 	0.510580621284
ROAD 	NN 	447 	93.8392857143 	42.9796520767 	31.4869584138 	0.352821157692
ROOT 	JJ 	368 	72.4119241192 	83.5504589542 	21.1136607587 	0.335451247617
ROPE 	NN 	602 	91.3764510779 	68.9243190593 	22.3102311002 	0.334656989991
ROTTEN 	JJ 	638 	91.455399061 	88.2688023328 	28.9820732794 	0.434243756191
RUB 	JJ 	690 	91.8089725036 	65.9572903831 	51.1514467832 	0.575068574209
SALT 	NN 	253 	68.031496063 	94.808993359 	34.0908241106 	0.499139856883
SAND 	NN 	402 	94.4416873449 	80.1072896179 	62.0455608609 	0.696959041331
SCRATCH 	DT 	733 	94.3324250681 	64.7213297576 	26.6054937067 	0.374710862535
SEA 	NN 	240 	91.5352697095 	80.8917019796 	67.9117890229 	0.736993737482
SEED 	NN 	374 	78.9866666667 	79.7565539276 	25.2678137977 	0.383329409042
SHARP 	JJ 	464 	90.1505376344 	63.2948669297 	46.4597055092 	0.534070661286
SHORT 	JJ 	431 	80.9722222222 	76.4874891691 	27.0475668752 	0.398251719374
SKIN 	NN 	339 	93.3529411765 	79.4867903088 	53.5559107091 	0.635301378026
SKY 	NN 	311 	90.641025641 	78.3220565457 	47.2994672991 	0.579634463616
SMALL 	JJ 	449 	93.3777777778 	83.3318995108 	41.4467959942 	0.551603688916
SMOKE 	NN 	327 	79.6951219512 	98.1147814 	38.6991245314 	0.552239486627
SMOOTH 	JJ 	533 	83.9325842697 	77.9479891218 	25.8635610004 	0.387801592654
SNAKE 	NN 	346 	93.6599423631 	71.6322096306 	54.0395924439 	0.612943326059
SNOW 	NN 	445 	83.9461883408 	88.9808306551 	52.0834859749 	0.656327935978
SOME 	DT 	651 	80.8895705521 	47.3188547053 	7.97543367657 	0.13560420262
STAR 	NN 	426 	77.7517564403 	98.8425764946 	53.0760052984 	0.689913392106
STICK 	JJ 	603 	90.0331125828 	77.7917795957 	17.7973212155 	0.287774264288
STONE 	NN 	337 	93.1952662722 	77.9282070911 	64.1960979221 	0.701320469819
STRAIGHT 	JJ 	536 	89.5716945996 	68.056014411 	28.611100831 	0.401758335325
SUN 	JJ 	333 	66.7065868263 	97.8298457209 	39.9961232984 	0.566914954264
TAIL 	NN 	462 	94.8596112311 	71.4047351815 	42.3614795476 	0.527487422469
THAT 	DT 	594 	73.1764705882 	61.6518200982 	5.34894928542 	0.0977030466116
THERE 	DT 	406 	82.9484029484 	57.2051829871 	14.1695003701 	0.225095750011
THEY 	DT 	411 	87.7184466019 	77.0836287817 	20.6655281741 	0.322529003901
THICK 	JJ 	548 	93.2604735883 	82.9900745279 	42.2278087219 	0.557791732597
THIN 	DT 	528 	82.3062381853 	83.4503441971 	29.1728764605 	0.430102925941
THIS 	DT 	621 	88.1672025723 	49.7403572149 	12.3075341911 	0.195409823224
THOU 	DT 	122 	51.8699186992 	83.8349655234 	11.2540930163 	0.195862827092
THREE 	DT 	173 	36.091954023 	99.9984034629 	36.300368206 	0.531975061997
TO 	DT 	565 	94.3816254417 	77.1200308851 	46.305319728 	0.576953704181
TONGUE 	NN 	285 	55.1048951049 	95.1063717131 	18.509057009 	0.307492067492
TOOTH 	DT 	260 	71.1877394636 	99.9981128713 	41.9337889356 	0.589502915827
TREE 	JJ 	516 	91.1798839458 	75.7983652991 	35.3464352748 	0.479909808442
TWO 	DT 	274 	18.4 	99.9980150606 	18.4670858865 	0.31132106669
WARM 	NN 	453 	82.8634361233 	88.6751815023 	33.6116109185 	0.485822958742
WATER 	NN 	263 	76.6666666667 	79.1606122354 	16.2267824818 	0.266782717714
WE 	DT 	282 	13.3568904594 	99.2555602759 	10.1537210472 	0.183567274798
WET 	JJ 	544 	93.5412844037 	80.3015807617 	38.0683538924 	0.5112399813
WHAT 	DT 	296 	27.4747474747 	91.1887926859 	6.66799448504 	0.123918077074
WHEN 	DT 	462 	44.7084233261 	91.1502849466 	14.6554801792 	0.251869970924
WHERE 	DT 	477 	40.460251046 	91.6254107433 	8.73336373052 	0.159130674413
WHITE 	JJ 	470 	91.1677282378 	86.2455562623 	48.8104575783 	0.622132161991
WHO 	DT 	362 	12.0110192837 	99.0860778182 	6.08068505754 	0.114384550069
WIDE 	JJ 	430 	94.6171693735 	90.4895368993 	58.5903402037 	0.709524060635
WIFE 	NN 	518 	89.1714836224 	62.447334989 	15.8758278886 	0.251321499583
WIND 	DT 	404 	71.7037037037 	94.986354109 	32.3738727922 	0.482281116454
WING 	NN 	397 	93.216080402 	73.4910287346 	42.1351861645 	0.532091918977
WIPE 	NN 	734 	91.3197278912 	57.2485086736 	19.302125654 	0.287741083541
WITH 	DT 	370 	87.4932614555 	66.5831159353 	21.2756856611 	0.320694206007
WOMAN 	NN 	426 	86.2295081967 	80.8510694275 	27.7518016263 	0.411937493632
WOODS 	NN 	477 	94.0167364017 	60.1488894032 	28.6461656705 	0.377953457397
WORM 	NN 	442 	83.5214446953 	74.6061789122 	33.0526433472 	0.45628199633
YE 	NN 	385 	69.481865285 	90.8775267275 	11.9929415696 	0.210771478987
YEAR 	NN 	329 	93.0303030303 	89.1390124319 	47.0460679114 	0.611777407398
YELLOW 	JJ 	449 	83.6444444444 	91.6183252169 	36.0387747635 	0.516106824389

---------------------------------
