ID	Value
htd10000	डिसेंबर\N_NN आणि\CC_CCD जानेवारी\N_NN ह्यादरम्यान\N_NN बर्फ\N_NN पडत\V_VM असल्याने\V_VAUX येथील\DM_DMD वातावरण\N_NN खूप\QT_QTF थंड\JJ असते.\V_VM
htd9001	मेरिन\N-NNP राष्‍ट्रीय\N-NNP उद्यान\N-NNP अंदमान\N-NNP जिल्ह्यात\N_NN वसलेले\V_VM आहे.\V_VAUX
htd9002	मेरिन\N-NNP राष्‍ट्रीय\N-NNP उद्यानाचे\N-NNP क्षेत्रफळ\N_NN २८१.५०\QT_QTC वर्ग\N_NN किलोमीटर\N_NN आहे.\V_VM
htd9003	अंदमान\N-NNP द्वीप\N_NN समूहाची\N_NN राजधानी\N_NN पोर्टब्लेयर\N-NNP जे\PR_PRL विमानतळ\N_NN देखील\RB आहे\V_VM आणि\CC_CCD जेथे\DM_DMD बंदर\N_NN देखील\RB आहे\V_VM ,\RD_PUNC उद्यानापासून\N_NN २०\QT_QTC किलोमीटर\N_NN दूर\RB आहे.\V_VM
htd9004	मेरिन\N-NNP राष्‍ट्रीय\N-NNP उद्यानाच्या\N-NNP समुद्रकिनार्‍यावर\N_NN पाच\QT_QTC प्रकारची\N_NN कासवे\N_NN आढळतात.\V_VM
htd9005	ही\DM_DMR समुद्रकिनार्‍यांवर\N_NN आढळणारी\V_VM_VF कासवे\N_NN आहेत\V_VM -\RD_PUNC ग्रीन\N_NN सी\N_NN टर्टल\N_NN ,\RD_PUNC हौक्साविल\N_NN टर्टल\N_NN ,\RD_PUNC लागरहेड\N_NN टर्टल\N_NN आणि\CC_CCD लेदर\N_NN बैंक\N_NN टर्टल.\N_NN
htd9006	जंगली\JJ डुक्कर\N_NN ,\RD_PUNC मॉनिटर\N_NN लिझार्ड\N_NN ,\RD_PUNC डॉल्फिन\N_NN ,\RD_PUNC खूप\QT_QTF प्रकारचे\N_NN सर्प\N_NN मेरिन\N-NNP राष्‍ट्रीय\N-NNP उद्यानातील\N-NNP इतर\QT_QTF वन्य\N_NN प्राणी\N_NN आहेत.\V_VM
htd9007	पक्ष्यांमध्ये\N_NN पांढर्‍या\JJ वक्षःस्थळाची\N_NN समुद्री\JJ घार\N_NN ,\RD_PUNC अंदमानी\JJ वन\N_NN कबूतर\N_NN ,\RD_PUNC अंदमानी\JJ पाणकोंबडा\N_NN हरियल\N_NN ,\RD_PUNC मोर\N_NN ,\RD_PUNC पोपट\N_NN ,\RD_PUNC पाणकावळा\N_NN इत्यादी\JJ आहेत.\V_VM
htd9008	येथील\DM_DMD प्रवाळांचे\N_NN खडक\N_NN आणि\CC_CCD मासे\N_NN पर्यटकांच्या\N_NN आकर्षणाचे\N_NN केंद्र\N_NN आहेत.\V_VM
htd9009	मेरिन\N-NNP राष्‍ट्रीय\N-NNP उद्यानाच्या\N-NNP भ्रमणासाठी\N_NN डिसेंबर\N_NN ते\DM_DMR मार्च\N_NN -\RD_PUNC एप्रिलपर्यंतचे\N_NN महिने\N_NN उपयुक्‍त\N_NN आहेत.\V_VM
htd9010	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यान\N-NNP अरूणाचल\N-NNP प्रदेशाच्या\N-NNP पूर्वेकडील\N_NN सियांग\N-NNP जिल्ह्यामध्ये\N_NN वसलेले\V_VM आहे.\V_VAUX
htd9011	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यान\N-NNP ४८३\QT_QTC वर्ग\N_NN किलोमीटर\N_NN क्षेत्रामध्ये\N_NN पसरलेले\V_VM आहे.\V_VAUX
htd9012	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यानाचे\N-NNP सर्वात\RP_INTF जवळचे\RB नगर\N_NN ’पासघाट’\N-NNP १६\QT_QTC किलोमीटरच्या\N_NN अंतरावर\N_NN आहे.\V_VM
htd9013	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यानात\N-NNP पोहचण्यासाठी\V_VM रेल्वे\N_NN मुख्य\JJ मोरकोंगसेलक\N-NNP ३६\QT_QTC किलोमीटर\N_NN दूर\N_NST आणि\CC_CCD विमानतळ\N_NN लीलाबाडी\N-NNP जवळजवळ\RB २३०\QT_QTC किलोमीटरच्या\N_NN अंतरावर\N_NN आहे.\V_VM
htd9014	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यानामध्ये\N-NNP पावसाळा\N_NN जुलै\N_NN ते\DM_DMR ऑक्‍टोबर\N_NN पर्यंत\N_NN असतो.\V_VM
htd9015	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यान\N-NNP उष्‍णकटिबंधीय\JJ जवळजवळ\RB सदाहरित\N_NN वनांनी\N_NN आच्छादित\V_VM आहे.\V_VAUX
htd9016	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यानात\N-NNP आढळले\V_VM जाणारे\V_VAUX वन्य\N_NN प्राण्यांमध्ये\N_NN प्रमुख\JJ वाघ\N_NN ,\RD_PUNC चित्ता\N_NN ,\RD_PUNC हिम\JJ चित्ता\N_NN ,\RD_PUNC हत्ती\N_NN ,\RD_PUNC जंगली\JJ रेडा\N_NN ,\RD_PUNC सांबर\N_NN ,\RD_PUNC पांडा\N_NN ,\RD_PUNC काकड\N_NN ,\RD_PUNC अजगर\N_NN साप\N_NN हे\DM_DMR आहेत.\V_VM
htd9017	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यानात\N-NNP विविध\JJ प्रकारचे\N_NN पक्षी\N_NN आढळले\V_VM जातात\V_VAUX ज्यामध्ये\PR_PRL धनेश\N-NNP प्रमुख\JJ आहे.\V_VM
htd9018	मौलिंग\N-NNP राष्‍ट्रीय\N-NNP उद्यानाच्या\N-NNP भ्रमणासाठी\N_NN नोव्हेंबर\N_NN ते\DM_DMR एप्रिल\N_NN पर्यंतचा\N_NN काळ\N_NN चांगला\JJ आहे.\V_VM
htd9019	नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यान\N-NNP उत्तर\N_NN पूर्व\N_NN हिमालयात\N-NNP अरूणाचल\N-NNP प्रदेशच्या\N_NN तरीप\N-NNP जिल्ह्यामध्ये\N_NN १९८५.२३\QT_QTC वर्ग\N_NN किलोमीटरमध्ये\N_NN पसरलेले\V_VM आहे.\V_VAUX
htd9020	नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यानचे\N-NNP सर्वात\RP_INTF जवळचे\RB शहर\N_NN मार्गरीटा\N-NNP ६२\QT_QTC किलोमीटरच्या\N_NN अंतरावर\N_NN आहे.\V_VM
htd9021	नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यानात\N-NNP पोहचण्यासाठी\V_VM रेल्वे\N_NN मुख्य\JJ ९०\QT_QTC किलोमीटर\N_NN दूर\RB ’लेडो’\N-NNP मध्ये\N_NST आहे\V_VM आणि\CC_CCD विमानतळ\N_NN १४०\QT_QTC किलोमीटर\N_NN दूर\RB ’डिब्रूगड’\N-NNP मध्ये\N_NST आहे.\V_VM
htd9022	नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यानात\N-NNP आढळले\V_VM जाणारे\V_VAUX वन्य\N_NN प्राणी\N_NN वाघ\N_NN ,\RD_PUNC चित्ता\N_NN ,\RD_PUNC बादली\N_NN चित्ता\N_NN (\RD_SYM लम\N_NN चित्ता\N_NN )\RD_SYM ,\RD_PUNC हिम\JJ चित्ता\N_NN ,\RD_PUNC जंगली\JJ रेडा\N_NN ,\RD_PUNC गौर\N_NN ,\RD_PUNC हत्ती\N_NN ,\RD_PUNC अस्वल\N_NN ,\RD_PUNC सांबर\N_NN ,\RD_PUNC काकड\N_NN ,\RD_PUNC लाजाळू-मांजर\N_NN ,\RD_PUNC हुलाक\N_NN गिब्बन\N_NN ,\RD_PUNC लालपांडा\N_NN ,\RD_PUNC अस्वल-मांजर\N_NN तसेच\CC_CCD कस्तुरी-मृग\N_NN गोरल\N_NN आणि\CC_CCD ताकिन\N_NN सारखे\JJ दुर्लभ\JJ प्राणी\N_NN आहेत.\V_VM
htd9023	नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यानात\N-NNP विविध\JJ प्रकारच्या\N_NN पक्ष्यांचे\N_NN निवासस्थान\N_NN आहे.\V_VM
htd9024	नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यानात\N-NNP आढळले\V_VM जाणाऱ्या\V_VAUX पिजेंट\N_NN पक्ष्यांमध्ये\N_NN मोनाल\N_NN ,\RD_PUNC कलीज\N_NN आणि\CC_CCD मोर\N_NN प्रमुख\JJ आहेत.\V_VM
htd9025	धनेश\N-NNP पक्षी\N_NN देखील\RB नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यानात\N-NNP जास्त\QT_QTF प्रमाणात\N_NN आहेत.\V_VM
htd9026	वाघ\N_NN योजनेच्या\N_NN अंतर्गत\JJ नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यान\N-NNP ’वाघ\N_NN रिजर्व्ह\N_NN देखील\RB आहे’\V_VM ह्यामुळे\CC_CCD वाघांना\N_NN येथे\DM_DMD विशेष\JJ संरक्षण\JJ प्राप्‍त\N_NN आहे.\V_VM
htd9027	नोव्हेंबर\N_NN ते\DM_DMR मार्च\N_NN पर्यंतच्या\N_NN महिन्यात\N_NN नमदफा\N-NNP राष्‍ट्रीय\N-NNP उद्यान\N-NNP भ्रमणासाठी\N_NN उपयुक्‍त\N_NN आहेत.\V_VM
