ID	Value
htd7001	सुल्तान\N-NNP जहांगीर\N-NNP आपल्या\PR_PRF मांडू\N-NNP प्रवासादरम्यान\N_NN `जल\N_NN महालात’\N_NN थांबला\V_VM होता\V_VAUX .\RD_PUNC
htd7002	त्या\DM_DMD वेळी\N_NN महालाला\N_NN खूप\QT_QTF सुंदर\JJ रीतीने\N_NN सजवले\V_VM गेले\V_VAUX होते\V_VAUX .\RD_PUNC
htd7003	चंपा\N-NNP विहीर\N_NN प्राचीनकाळी\JJ विहीर\N_NN होती\V_VM .\RD_PUNC
htd7004	शाही\JJ स्त्रीया\N_NN ह्या\DM_DMR विहीरचा\N_NN उपयोग\N_NN पिण्याच्या\V_VM पाण्यासाठी\N_NN करत\V_VM असत\V_VAUX .\RD_PUNC
htd7005	चंपा\N-NNP विहीरीच्या\N_NN आतून\N_NST रस्ता\N_NN बनवला\V_VM गेला\V_VAUX होता\V_VAUX जो\PR_PRL मांडूच्या\N-NNP बाहेरच्या\N_NST दिशेने\N_NN निघत\V_VM होते\V_VAUX .\RD_PUNC
htd7006	ह्या\DM_DMR विहीरीची\N_NN आकृती\N_NN चंपाच्या\N-NNP फूलाप्रमाणे\N_NN असल्यामुळे\V_VM ह्याचे\PR_PRP नाव\N_NN चंपा\N-NNP विहीर\N_NN पडले\V_VM .\RD_PUNC
htd7007	तवेली\N-NNP महालाचे\N_NN बांधकाम\N_NN राजमहालाच्या\N_NN सुरक्षा\N_NN कर्मचार्‍यांना\N_NN राहण्यासाठी\V_VM केले\V_VAUX होते\V_VAUX .\RD_PUNC
htd7008	तवेली\N-NNP महालात\N_NN भारतीय\JJ पुरातत्त्‍वशास्त्र\JJ सर्वेक्षण\N_NN विभागाचे\N_NN कार्यालय\N_NN आणि\CC_CCD विश्रांतीगृह\N_NN आहे\V_VM .\RD_PUNC
htd7009	हिंडोला\N-NNP महाल\N_NN -\RD_PUNC खडकांनी\N_NN बांधलेलया\V_VM ह्या\DM_DMR भवनात\N_NN एक\QT_QTC मोठे\JJ सभा\N_NN भवन\N_NN आहे\V_VM ज्याची\PR_PRL लांबी\N_NN ८८\QT_QTC फूट\N_NN आणि\CC_CCD रुंदी\N_NN २५\QT_QTC फूट\N_NN आहे\V_VM .\RD_PUNC
htd7010	आकार\N_NN झोक्यासारखा\N_NN असल्यामुळे\V_VM ह्याला\PR_PRL हिंडोला\N-NNP महाल\N_NN म्हटले\V_VM जाते\V_VAUX .\RD_PUNC
