ID	Value
htd18001	निर्सगाच्या\N_NN कुशीत\N_NN वसलेले\V_VM पेनांग\N_NNP नैसर्गिक\JJ दृश्‍यं\N_NN ,\RD_PUNC प्राचीन\JJ वारसा\N_NN व\CC_CCD इतिहासाला\N_NN सामावून\V_VM घेणारे\V_VM सुंदर\JJ पर्यटनस्थळ\N_NN आहे\V_VM .\RD_PUNC
htd18002	पेनांग\N_NNP मलेशियातील\N_NNP एक\QT_QTC सुप्रसिद्ध\JJ पर्यटनस्थळ\N_NN आहे\V_VM .\RD_PUNC
htd18003	हे\DM_DMR ठिकाण\N_NN तेथील\DM_DMD अनेक\QT_QTF आकर्षक\JJ स्थळ\N_NN तसेच\CC_CCD अद्वितीय\JJ समुद्रकिनार्‍यासाठी\N_NN तर\CC_CCS ओळखले\V_VM जाते\V_VM त्याबरोबरच\PR_PRL विश्वभर\N_NN आपल्या\PR_PRP स्वादिष्‍ठ\JJ भोजनासाठीदेखील\N_NN प्रसिद्ध\JJ आहे\V_VM .\RD_PUNC
htd18004	हेच\DM_DMR कारण\N_NN आहे\V_VM की\CC_CCS लोक\N_NN लांबून\V_VM ह्या\DM_DMR बेटावर\N_NN मौज\N_NN -\RD_PUNC मस्ती\N_NN करण्यासाठी\V_VM तसेच\CC_CCD येथील\DM_DMD स्वादिष्ट\JJ पदार्थाचा\N_NN आनंद\N_NN घेण्यासाठी\V_VM येतात\V_VM .\RD_PUNC
htd18005	येथे\DM_DMD आजदेखील\RB शतकांपूर्वीच्या\N_NN जुन्या\JJ इमारतींचे\N_NN जतन\N_NN केले\V_VM आहे\V_VM जे\PR_PRL पेनांगच्या\N_NNP गौरवपूर्ण\JJ गतकाळाचे\N_NN एक\QT_QTC महत्त्वपूर्ण\N_NN अंग\N_NN आहे\V_VM .\RD_PUNC
htd18006	ह्या\DM_DMR जुन्या\JJ इमारतींच्या\N_NN अधेमधे\N_NST तुम्हाला\PR_PRP उंच-उंच\JJ अत्याधुनिक\JJ इमारतींदेखील\N_NN पाहायला\V_VM मिळतील\V_VM ज्या\PR_PRL ह्या\DM_DMR बेटाच्या\N_NN आधुनिक\JJ स्वरूपाचे\N_NN प्रतिनिधित्व\N_NN करतात\V_VM .\RD_PUNC
htd18007	हे\DM_DMR मलेशियाचे\N_NNP चौथ्या\QT_QTO नंबरचे\N_NN सर्वात\RP_INTF मोठे\JJ तसेच\CC_CCD सर्वात\RP_INTF जास्त\QT_QTF लोकसंख्या\N_NN असणारे\V_VM बेट\N_NN आहे\V_VM .\RD_PUNC
htd18008	पेनांग\N_NNP मलेशियाच्या\N_NNP मुख्य\JJ भूमीपासून\N_NN १३.५\QT_QTC किलोमीटर\N_NN लांब\JJ पुलाद्वारे\N_NN जोडले\V_VM आहे\V_VM .\RD_PUNC
htd18009	आशियाचा\N_NNP हा\DM_DMR सर्वात\RP_INTF उंच\JJ पुल\N_NN १९८५\N_NN मध्ये\N_NST बांधुन\V_VM तयार\JJ झाला\V_VM .\RD_PUNC
htd18010	पेनांग\N_NNP टेकडी\N_NN ह्या\DM_DMR बेटाचे\N_NN सर्वात\RP_INTF आकर्षक\JJ स्थान\N_NN आहे\V_VM जे\PR_PRL समुद्रतळापासून\N_NN ८२१\QT_QTC मीटर\N_NN उंचीवर\N_NN आहे\V_VM .\RD_PUNC
